案件ID,行程,メンバー,所属,チーム,月,時間
PJ-2019-A,UI/UX設計,EMP-A0010,自社,ゲームデザイン部,2019-04,43.1
PJ-2019-A,エンジン開発,EMP-A0026,自社,第1開発部,2019-04,8.5
PJ-2019-A,キャラクターモデリング,EMP-A0068,自社,アート部,2019-04,4.2
PJ-2019-A,クライアント実装,EMP-A0025,自社,第1開発部,2019-04,19.2
PJ-2019-A,ゲームバランス調整,EMP-A0016,自社,ゲームデザイン部,2019-04,54.3
PJ-2019-A,サーバ実装,EMP-A0039,自社,第2開発部,2019-04,8.8
PJ-2019-A,シナリオ執筆,EMP-A0009,自社,ゲームデザイン部,2019-04,76.8
PJ-2019-A,ツール開発,EMP-A0032,自社,第1開発部,2019-04,7.2
PJ-2019-A,バトルデザイン,EMP-A0009,自社,ゲームデザイン部,2019-04,82.5
PJ-2019-A,プロジェクト管理,EMP-A0127,自社,PMO,2019-04,87.6
PJ-2019-A,プロトタイプ制作,EMP-A0001,自社,企画部,2019-04,127.2
PJ-2019-A,プロトタイプ制作,EMP-A0002,自社,企画部,2019-04,68.4
PJ-2019-A,プロトタイプ制作,EMP-A0003,自社,企画部,2019-04,245.3
PJ-2019-A,プロトタイプ制作,EMP-A0004,自社,企画部,2019-04,151.4
PJ-2019-A,プロトタイプ制作,EMP-A0005,自社,企画部,2019-04,286.7
PJ-2019-A,プロトタイプ制作,EMP-A0006,自社,企画部,2019-04,57.0
PJ-2019-A,プロトタイプ制作,EMP-A0007,自社,企画部,2019-04,65.2
PJ-2019-A,プロトタイプ制作,EMP-A0008,自社,企画部,2019-04,98.8
PJ-2019-A,レベルデザイン,EMP-A0010,自社,ゲームデザイン部,2019-04,105.7
PJ-2019-A,企画書作成,EMP-A0002,自社,企画部,2019-04,122.3
PJ-2019-A,企画書作成,EMP-A0006,自社,企画部,2019-04,145.1
PJ-2019-A,企画書作成,EMP-A0007,自社,企画部,2019-04,57.1
PJ-2019-A,企画立案,EMP-A0001,自社,企画部,2019-04,62.2
PJ-2019-A,企画立案,EMP-A0002,自社,企画部,2019-04,27.5
PJ-2019-A,企画立案,EMP-A0003,自社,企画部,2019-04,232.0
PJ-2019-A,企画立案,EMP-A0004,自社,企画部,2019-04,202.4
PJ-2019-A,企画立案,EMP-A0005,自社,企画部,2019-04,111.6
PJ-2019-A,企画立案,EMP-A0006,自社,企画部,2019-04,106.7
PJ-2019-A,企画立案,EMP-A0008,自社,企画部,2019-04,10.2
PJ-2019-A,市場調査,EMP-A0001,自社,企画部,2019-04,106.6
PJ-2019-A,市場調査,EMP-A0003,自社,企画部,2019-04,56.1
PJ-2019-A,市場調査,EMP-A0005,自社,企画部,2019-04,160.8
PJ-2019-A,最適化,PTA-A0047,協力会社A,開発支援チーム,2019-04,9.8
PJ-2019-A,移植対応,PTA-A0048,協力会社A,開発支援チーム,2019-04,6.1
PJ-2019-A,進行管理,EMP-A0132,自社,PMO,2019-04,57.4
PJ-2019-A,2Dイラスト,EMP-A0063,自社,アート部,2019-05,15.9
PJ-2019-A,UI/UX設計,EMP-A0019,自社,ゲームデザイン部,2019-05,160.9
PJ-2019-A,UIアート,PTB-A0080,協力会社B,3DCGチーム,2019-05,17.5
PJ-2019-A,アニメーション,EMP-A0060,自社,アート部,2019-05,25.4
PJ-2019-A,エフェクト,PTC-A0084,協力会社C,2Dアートチーム,2019-05,19.2
PJ-2019-A,エンジン開発,EMP-A0026,自社,第1開発部,2019-05,43.4
PJ-2019-A,キャラクターモデリング,PTB-A0080,協力会社B,3DCGチーム,2019-05,32.4
PJ-2019-A,クライアント実装,EMP-A0027,自社,第1開発部,2019-05,89.5
PJ-2019-A,ゲームバランス調整,EMP-A0009,自社,ゲームデザイン部,2019-05,48.6
PJ-2019-A,ゲームバランス調整,EMP-A0017,自社,ゲームデザイン部,2019-05,129.0
PJ-2019-A,サーバ実装,EMP-A0023,自社,第1開発部,2019-05,56.4
PJ-2019-A,シナリオ執筆,EMP-A0011,自社,ゲームデザイン部,2019-05,56.5
PJ-2019-A,シナリオ執筆,EMP-A0019,自社,ゲームデザイン部,2019-05,165.0
PJ-2019-A,ツール開発,EMP-A0029,自社,第1開発部,2019-05,28.5
PJ-2019-A,バトルデザイン,EMP-A0009,自社,ゲームデザイン部,2019-05,163.8
PJ-2019-A,バトルデザイン,EMP-A0015,自社,ゲームデザイン部,2019-05,104.6
PJ-2019-A,プロジェクト管理,EMP-A0128,自社,PMO,2019-05,50.9
PJ-2019-A,プロジェクト管理,EMP-A0129,自社,PMO,2019-05,162.6
PJ-2019-A,プロトタイプ制作,EMP-A0001,自社,企画部,2019-05,234.3
PJ-2019-A,プロトタイプ制作,EMP-A0002,自社,企画部,2019-05,277.0
PJ-2019-A,プロトタイプ制作,EMP-A0003,自社,企画部,2019-05,103.7
PJ-2019-A,プロトタイプ制作,EMP-A0004,自社,企画部,2019-05,144.8
PJ-2019-A,プロトタイプ制作,EMP-A0005,自社,企画部,2019-05,203.4
PJ-2019-A,プロトタイプ制作,EMP-A0006,自社,企画部,2019-05,222.2
PJ-2019-A,プロトタイプ制作,EMP-A0007,自社,企画部,2019-05,70.4
PJ-2019-A,プロトタイプ制作,EMP-A0008,自社,企画部,2019-05,67.0
PJ-2019-A,レベルデザイン,EMP-A0010,自社,ゲームデザイン部,2019-05,149.8
PJ-2019-A,レベルデザイン,EMP-A0011,自社,ゲームデザイン部,2019-05,120.9
PJ-2019-A,レベルデザイン,EMP-A0017,自社,ゲームデザイン部,2019-05,93.1
PJ-2019-A,企画書作成,EMP-A0002,自社,企画部,2019-05,140.0
PJ-2019-A,企画書作成,EMP-A0003,自社,企画部,2019-05,172.0
PJ-2019-A,企画書作成,EMP-A0004,自社,企画部,2019-05,71.9
PJ-2019-A,企画書作成,EMP-A0005,自社,企画部,2019-05,157.9
PJ-2019-A,企画書作成,EMP-A0007,自社,企画部,2019-05,52.4
PJ-2019-A,企画書作成,EMP-A0008,自社,企画部,2019-05,57.2
PJ-2019-A,企画立案,EMP-A0001,自社,企画部,2019-05,96.8
PJ-2019-A,企画立案,EMP-A0002,自社,企画部,2019-05,123.2
PJ-2019-A,企画立案,EMP-A0003,自社,企画部,2019-05,292.6
PJ-2019-A,企画立案,EMP-A0004,自社,企画部,2019-05,118.7
PJ-2019-A,企画立案,EMP-A0005,自社,企画部,2019-05,186.5
PJ-2019-A,企画立案,EMP-A0006,自社,企画部,2019-05,79.2
